metabolite,z_score_adjacent,fdr_adjacent,communication_score_adjacent,z_score_fibrotic,fdr_fibrotic,communication_score_fibrotic,fibrotic_minus_adjacent_z,fibrotic_minus_adjacent_score
Triiodothyronine,0.22105151056015923,0.4801117637149919,6.469411003790286,0.284151801055837,0.43563309763804464,10.564679448479048,0.06310029049567775,4.095268444688761
Thyroxine,0.22105151056015923,0.4801117637149919,6.469411003790286,0.284151801055837,0.43563309763804464,10.564679448479048,0.06310029049567775,4.095268444688761
Liothyronine,0.22105151056015923,0.4801117637149919,6.469411003790286,0.284151801055837,0.43563309763804464,10.564679448479048,0.06310029049567775,4.095268444688761
Deoxyguanosine,0.042182300062262375,0.49392027750420037,1.2345296148234894,0.08019761636106448,0.47940023818038174,2.981723523266546,0.03801531629880211,1.7471939084430568
Deoxyinosine,0.042182300062262375,0.49392027750420037,1.2345296148234894,0.08019761636106448,0.47940023818038174,2.981723523266546,0.03801531629880211,1.7471939084430568
Thymine,0.042182300062262375,0.49392027750420037,1.2345296148234894,0.08019761636106448,0.47940023818038174,2.981723523266546,0.03801531629880211,1.7471939084430568
Deoxycytidine,0.042182300062262375,0.49392027750420037,1.2345296148234894,0.08019761636106448,0.47940023818038174,2.981723523266546,0.03801531629880211,1.7471939084430568
Hypoxanthine,0.042182300062262375,0.49392027750420037,1.2345296148234894,0.08019761636106448,0.47940023818038174,2.981723523266546,0.03801531629880211,1.7471939084430568
Uracil,0.042182300062262375,0.49392027750420037,1.2345296148234894,0.08019761636106448,0.47940023818038174,2.981723523266546,0.03801531629880211,1.7471939084430568
Deoxyadenosine,0.042182300062262375,0.49392027750420037,1.2345296148234894,0.08019761636106448,0.47940023818038174,2.981723523266546,0.03801531629880211,1.7471939084430568
Cytosine,0.042182300062262375,0.49392027750420037,1.2345296148234894,0.08019761636106448,0.47940023818038174,2.981723523266546,0.03801531629880211,1.7471939084430568
Guanine,0.042182300062262375,0.49392027750420037,1.2345296148234894,0.08019761636106448,0.47940023818038174,2.981723523266546,0.03801531629880211,1.7471939084430568
Deoxyuridine,0.042182300062262375,0.49392027750420037,1.2345296148234894,0.08019761636106448,0.47940023818038174,2.981723523266546,0.03801531629880211,1.7471939084430568
alpha-Linolenic acid,0.09892159062663715,0.49392027750420037,2.8950918511739276,0.12993626507658598,0.47940023818038174,4.830991688829682,0.031014674449948834,1.9358998376557546
Oleic acid,0.09892159062663715,0.49392027750420037,2.8950918511739276,0.12993626507658598,0.47940023818038174,4.830991688829682,0.031014674449948834,1.9358998376557546
Linoleic acid,0.09892159062663715,0.49392027750420037,2.8950918511739276,0.12993626507658598,0.47940023818038174,4.830991688829682,0.031014674449948834,1.9358998376557546
Dihomo-gamma-linolenic acid,0.09892159062663715,0.49392027750420037,2.8950918511739276,0.12993626507658598,0.47940023818038174,4.830991688829682,0.031014674449948834,1.9358998376557546
