marker_set,cell_type,spearman_r,p_value,n_slides
Fibroblast,Glia,-0.07518796992481201,0.7527267095067719,20
Myofibroblast,Cycling_T/NK,-0.08394848479859346,0.7249301930972816,20
Pericyte,Fibroblast,-0.08421052631578946,0.7241036435108114,20
Myofibroblast,Erythrocyte,-0.08571428571428572,0.7193660879190987,20
Pericyte,Macrophage,-0.08872180451127819,0.7099206278927328,20
Myofibroblast,Epithelial_progenitor,-0.08947717584378703,0.7075546216424381,20
B_plasma,Transit_amplifying,-0.0933735998666951,0.695391444453421,20
Macrophage,Transit_amplifying,-0.09638565147529816,0.6860376169999433,20
Pericyte,Mesothelium,-0.1010407708757321,0.6716677842436352,20
Endothelial,Myofibroblast,-0.10526315789473684,0.6587277693915813,20
Pericyte,Absorptive,-0.10676691729323308,0.6541415450094845,20
Secretory,Mesothelium,-0.11123754591823717,0.6405776770715844,20
B_plasma,Myoblast/myocyte,-0.11445796112691659,0.6308741818825854,20
Pericyte,Monocyte,-0.1263157894736842,0.5956535128148984,20
Pericyte,Myoblast/myocyte,-0.12650616756132885,0.5950947894579208,20
Macrophage,Erythrocyte,-0.12932330827067667,0.586852724489982,20
Macrophage,Secretory,-0.13233082706766916,0.5781074593622942,20
Fibroblast,Neuron_progenitor,-0.1343902386939802,0.5721516313215318,20
Absorptive,Basal,-0.13915006625267587,0.5584892394017351,20
Pericyte,Microfold,-0.14264252504829375,0.5485578424469186,20
Macrophage,Vascular_endothelia,-0.14586466165413534,0.5394664944297438,20
B_plasma,Pericyte,-0.14586466165413534,0.5394664944297438,20
Endothelial,Neuron_progenitor,-0.14624820093168434,0.5383889411554666,20
Epithelial,Mesothelium,-0.14831672789098288,0.5325944907800249,20
Myofibroblast,Cycling_epithelia,-0.15143648238177645,0.5239102541524255,20
Myofibroblast,Neuron_progenitor,-0.15612983612977113,0.5109720682317173,20
Absorptive,Vascular_endothelia,-0.156390977443609,0.5102566899029022,20
Endothelial,Lymphatic_endothelia,-0.156390977443609,0.5102566899029022,20
B_plasma,Basal,-0.1594584543003637,0.5018895506824875,20
Fibroblast,Neuron,-0.16240601503759397,0.49391254436303184,20
Macrophage,Mesothelium,-0.16314840068008118,0.4919132468483301,20
Myofibroblast,Mesothelium,-0.1650023597787185,0.4869377916083793,20
Myofibroblast,NK,-0.17121703453544626,0.4704426271627759,20
Pericyte,Neuron_progenitor,-0.17391677948632733,0.4633658879646998,20
Myofibroblast,B_plasma,-0.1789473684210526,0.45032544160933996,20
Absorptive,Mesoderm,-0.17976507609658515,0.4482238758960419,20
Macrophage,Basal,-0.18127116738862104,0.4443664767922604,20
Fibroblast,Keratinocyte,-0.18176246583099165,0.4431119202708625,20
Absorptive,Cycling_epithelia,-0.1942337491418437,0.4118929719986677,20
Fibroblast,Intestinal_Cajal_cell,-0.19697534946555767,0.40519400258510824,20
Secretory,Cycling_endothelia,-0.2002235747810241,0.39733473642441924,20
Myofibroblast,Cycling_endothelia,-0.201800138361977,0.3935506612471184,20
Endothelial,Intestinal_Cajal_cell,-0.20455132444500218,0.3869952562897248,20
B_cells,Transit_amplifying,-0.2048195093850086,0.3863595116498462,20
B_cells,Mesothelium,-0.20486248039942012,0.38625770107603125,20
Myofibroblast,Basal,-0.206844693078302,0.3815775636960404,20
