marker_set,cell_type,spearman_r,p_value,n_slides
Epithelial,Unconventional_T/ILC,-0.37442272233198054,0.10385385861642568,20
Fibroblast,Salivary/Submucosal_glands,-0.3772835539763374,0.10102953541091332,20
Pericyte,Mature_B,-0.3789473684210526,0.09941288322147487,20
Epithelial,Cycling_T/NK,-0.38517540084060536,0.09352853909770668,20
Secretory,Cycling_T/NK,-0.38682144956214637,0.09201689575448567,20
Secretory,B_plasma,-0.39097744360902253,0.08828010210661401,20
Secretory,Mature_B,-0.3954887218045112,0.08435163245001213,20
Epithelial,B_plasma,-0.3969924812030075,0.08307130670785144,20
Absorptive,Myoblast/myocyte,-0.3990968381399065,0.08130383704377477,20
Pericyte,Conventional_CD8,-0.4015037593984962,0.07931658537453376,20
B_cells,Salivary/Submucosal_glands,-0.40152667391055985,0.07929784123133504,20
Myofibroblast,Epithelial_stem,-0.40155950528860634,0.0792709907933149,20
Epithelial,Fibroblast,-0.40451127819548865,0.07688442544807972,20
Macrophage,Glia,-0.41052631578947363,0.07218723053142061,20
Epithelial,Mature_B,-0.41052631578947363,0.07218723053142061,20
Absorptive,Granulocyte,-0.41052631578947363,0.07218723053142061,20
Myofibroblast,Secretory,-0.41052631578947363,0.07218723053142061,20
B_plasma,Vascular_endothelia,-0.41353383458646614,0.06992073829262122,20
Macrophage,Lymphatic_endothelia,-0.41654135338345866,0.0677080032438911,20
Pericyte,NK,-0.4166786238694489,0.06760827939513246,20
B_plasma,Intestinal_Cajal_cell,-0.4181938188653378,0.0665148426127574,20
Myofibroblast,Absorptive,-0.4285714285714286,0.05937977468606561,20
Epithelial,Immature_B,-0.437593984962406,0.05366144000429179,20
Pericyte,Treg,-0.44060150375939844,0.051851836932707014,20
B_plasma,Enteroendocrine,-0.4421052631578947,0.05096470340964165,20
Epithelial,Myoblast/myocyte,-0.44277158646465103,0.050575341125208645,20
Macrophage,Megakaryocyte/platelet,-0.4451127819548871,0.0492252966921177,20
Pericyte,Immature_B,-0.4481203007518797,0.04753173575066422,20
Epithelial,Granulocyte,-0.4496240601503759,0.046701909388062846,20
Myofibroblast,Microfold,-0.45056924578746754,0.046186049230957475,20
B_cells,Glia,-0.45112781954887216,0.045883258800006425,20
Myofibroblast,Transit_amplifying,-0.4548197928990632,0.043920141113616,20
Macrophage,Salivary/Submucosal_glands,-0.4591040837543382,0.04172393851609276,20
Absorptive,Monocyte,-0.4601503759398496,0.04120071780195445,20
Fibroblast,Melanocyte,-0.4616541353383458,0.040457634341480996,20
B_cells,Megakaryocyte/platelet,-0.4616541353383458,0.040457634341480996,20
Epithelial,Conventional_CD8,-0.4631578947368421,0.03972496645793576,20
B_plasma,Epithelial_progenitor,-0.4632608620299296,0.03967517692989586,20
Secretory,Monocyte,-0.4676691729323308,0.03758851020414885,20
B_cells,Lymphatic_endothelia,-0.4676691729323308,0.03758851020414885,20
Secretory,NK,-0.46819525372967175,0.03734529875054424,20
Pericyte,Unconventional_T/ILC,-0.4769617251282905,0.03346960590040158,20
Secretory,Conventional_CD8,-0.4781954887218045,0.03295038321495765,20
Absorptive,Treg,-0.4812030075187969,0.03171104462446245,20
Pericyte,DC,-0.4827067669172932,0.03110521686954333,20
Epithelial,Vascular_endothelia,-0.4827067669172932,0.03110521686954333,20
Pericyte,Conventional_CD4,-0.4842105263157894,0.030508493550666576,20
Pericyte,B_plasma,-0.49323308270676686,0.02711420494194422,20
B_plasma,Lymphatic_endothelia,-0.49323308270676686,0.02711420494194422,20
Myofibroblast,Mesoderm,-0.49473807267607184,0.02657821258465286,20
B_cells,Epithelial_progenitor,-0.5181017117406379,0.01927808541111821,20
Macrophage,Epithelial_progenitor,-0.5181017117406379,0.01927808541111821,20
Epithelial,NK,-0.5197118835898944,0.01884105987982933,20
Secretory,Granulocyte,-0.524812030075188,0.017508741658873818,20
Absorptive,Cycling_endothelia,-0.5281487996192368,0.016678648762069044,20
Myofibroblast,Enteroendocrine,-0.5308270676691729,0.01603544437677618,20
Pericyte,Mesoderm,-0.5331494137223508,0.015493965018039596,20
Secretory,Vascular_endothelia,-0.5353383458646617,0.014997129643632595,20
B_plasma,Erythrocyte,-0.5428571428571428,0.013387205428015157,20
Endothelial,Melanocyte,-0.5428571428571428,0.013387205428015157,20
Macrophage,Neuron,-0.556390977443609,0.010841753245056892,20
Fibroblast,Secretory,-0.5578947368421052,0.010585028447546956,20
Absorptive,Conventional_CD4,-0.5624060150375939,0.009844300033055812,20
B_cells,Neuron,-0.5639097744360902,0.009606971537576621,20
Fibroblast,Transit_amplifying,-0.5647596766130752,0.009474909124543381,20
Epithelial,Macrophage,-0.5654135338345864,0.00937431775063153,20
Secretory,Macrophage,-0.5684210526315789,0.008922760369500673,20
Secretory,Lymphoid_stromal_cell,-0.5684210526315789,0.008922760369500673,20
Myofibroblast,Salivary/Submucosal_glands,-0.574258903441895,0.008096816758243135,20
B_plasma,Microfold,-0.5864192696429854,0.006575993164396674,20
Absorptive,Macrophage,-0.58796992481203,0.006400170876195395,20
Fibroblast,Microfold,-0.5909476037715027,0.006073357964032162,20
Macrophage,Microfold,-0.5969853826095257,0.005452687086818086,20
Macrophage,Smooth_muscle,-0.5969924812030075,0.0054519893833496,20
Fibroblast,Absorptive,-0.6,0.00516292567367681,20
