metabolite,cell_type,spearman_r,p_value,n_patients
Fatty acid,Neuron_progenitor,-0.3424587453664927,0.4063271120918799,8
L-Asparagine,Salivary/Submucosal_glands,-0.3571428571428572,0.38512064355625614,8
L-Asparagine,Mesoderm,-0.3571428571428572,0.38512064355625614,8
L-Leucine,Megakaryocyte/platelet,-0.3571428571428572,0.38512064355625614,8
Cholic acid,Monocyte,-0.3571428571428572,0.38512064355625614,8
L-Serine,Mesothelium,-0.3659625273557,0.37262472702449545,8
L-Leucine,Cycling_endothelia,-0.37126414119311024,0.36520205801977806,8
Cholic acid,Unconventional_T/ILC,-0.37126414119311024,0.36520205801977806,8
Urea,Lymphatic_endothelia,-0.3714285714285715,0.4684781341107872,6
Urea,Lymphoid_stromal_cell,-0.3714285714285715,0.4684781341107872,6
Urea,Unconventional_T/ILC,-0.3768511731740915,0.4614828403508045,6
L-Leucine,Treg,-0.38095238095238104,0.35181255311756476,8
Fatty acid,Salivary/Submucosal_glands,-0.38095238095238104,0.35181255311756476,8
Cholesterol,Macrophage,-0.38095238095238104,0.35181255311756476,8
Cholic acid,NK,-0.38095238095238104,0.35181255311756476,8
Citric acid,Erythrocyte,-0.4047619047619048,0.3198886412288163,8
L-Serine,Transit_amplifying,-0.4047619047619048,0.3198886412288163,8
L-Histidine,Mesoderm,-0.4047619047619048,0.3198886412288163,8
L-Leucine,Conventional_CD8,-0.4047619047619048,0.3198886412288163,8
Fatty acid,Secretory,-0.4047619047619048,0.3198886412288163,8
Cholic acid,Mesothelium,-0.4147575310031267,0.30691224847369597,8
Cholesterol,Cycling_epithelia,-0.4147575310031267,0.30691224847369597,8
L-Alanine,Mature_B,-0.4285714285714286,0.2894032248467901,8
L-Alanine,Immature_B,-0.4285714285714286,0.2894032248467901,8
Fatty acid,Immature_B,-0.4285714285714286,0.2894032248467901,8
Fatty acid,Absorptive,-0.4285714285714286,0.2894032248467901,8
Citric acid,Megakaryocyte/platelet,-0.4285714285714286,0.2894032248467901,8
Fatty acid,Mature_B,-0.4285714285714286,0.2894032248467901,8
Urea,Salivary/Submucosal_glands,-0.4285714285714286,0.3965014577259473,6
Cholesterol,Basal,-0.4285714285714286,0.2894032248467901,8
Fatty acid,Microfold,-0.4285714285714286,0.2894032248467901,8
L-Asparagine,Cycling_epithelia,-0.43915503282683993,0.27632684013374553,8
Cholesterol,Cycling_T/NK,-0.43915503282683993,0.27632684013374553,8
Bile acid,Neuron_progenitor,-0.4472135954999579,0.4501848557521007,5
Fatty acid,NK,-0.4523809523809524,0.2604047674368853,8
L-Alanine,Enteroendocrine,-0.4523809523809524,0.2604047674368853,8
L-Histidine,Salivary/Submucosal_glands,-0.4523809523809524,0.2604047674368853,8
L-Serine,Immature_B,-0.4761904761904762,0.23293553465009798,8
L-Cysteine,Mature_B,-0.4761904761904762,0.23293553465009798,8
L-Cysteine,Immature_B,-0.4761904761904762,0.23293553465009798,8
L-Leucine,Conventional_CD4,-0.4761904761904762,0.23293553465009798,8
L-Serine,Mature_B,-0.4761904761904762,0.23293553465009798,8
L-Alanine,NK,-0.4761904761904762,0.23293553465009798,8
Urea,Epithelial_stem,-0.48571428571428577,0.3287230320699708,6
L-Alanine,Unconventional_T/ILC,-0.4910267673844362,0.21660820414021392,8
Bile acid,Vascular_endothelia,-0.49999999999999994,0.3910022189557703,5
