gene,Absorptive,B_plasma,Basal,Conventional_CD4,Conventional_CD8,Cycling_T/NK,Cycling_endothelia,Cycling_epithelia,DC,Enteroendocrine,Epithelial_progenitor,Epithelial_stem,Erythrocyte,Fibroblast,Glia,Granulocyte,Immature_B,Intestinal_Cajal_cell,Keratinocyte,Lymphatic_endothelia,Lymphoid_stromal_cell,Macrophage,Mature_B,Megakaryocyte/platelet,Melanocyte,Mesoderm,Mesothelium,Microfold,Monocyte,Myoblast/myocyte,Myofibroblast,NK,Neuron,Neuron_progenitor,Pericyte,Salivary/Submucosal_glands,Secretory,Smooth_muscle,Transit_amplifying,Treg,Unconventional_T/ILC,Vascular_endothelia,signature_variance
MID1IP1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,51.7247762043333,30.964897698205,1.0,34.4672536640585,1.0,1.0,92.8664292815523,1.0,1.0,1.0,140.049672661267,26.3692971053355,1.0,1.0,53.6355885844045,1.0,1.0,1.0,59.1042231091458,38.8540172059753,28.7519213679284,61.0259991622274,61.8424024964008,1.0,1.0,53.6606665056223,1.0,65.5675824811363,1.0,1.0,52.7706211558088,1.0,1.0,1.0,1.0,2.5779581828529983
LAD1,77.3943818601191,1.0,122.718715843402,1.0,1.0,1.0,1.0,146.403822166176,1.0,1.0,82.2396361182991,65.729564378044,1.0,1.0,1.0,1.0,1.0,1.0,225.239403258077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,147.078200496315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84.4432977848071,1.0,1.0,1.0,2.575457214320446
MPP1,1.0,1.0,1.0,1.0,1.0,1.0,61.1581466871006,1.0,1.0,1.0,1.0,1.0,312.569411067687,1.0,1.0,1.0,1.0,1.0,1.0,82.3400155176622,1.0,92.5660214258052,1.0,1318.27513329695,1.0,1.0,1.0,1.0,81.2660386382304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.575116225053051
CPXM1,1.0,1.0,1.0,1.0,1.0,1.0,91.4962900950477,1.0,1.0,1.0,1.0,1.0,1.0,109.850507209243,56.3886210935445,1.0,1.0,76.6554051505412,1.0,1.0,74.6948460697818,1.0,1.0,1.0,1.0,90.7258518627495,97.9652516774747,1.0,1.0,62.3545031583856,104.064613148211,1.0,1.0,1.0,64.6754413926109,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5739228838552597
SPART,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,93.5913990784478,55.0710902069774,1.0,1.0,49.0291780823185,1.0,1.0,71.5949133518473,1.0,1.0,1.0,59.9067768929889,87.3343413622971,56.4557602873673,1.0,1.0,70.6746711226134,81.6255454743789,1.0,1.0,58.3887496441421,58.8996365192607,1.0,1.0,56.1241644573073,1.0,1.0,1.0,1.0,2.5726930127263388
VBP1,1.0,1.0,37.1732733338638,1.0,1.0,111.733631205167,118.999988191726,59.3143891019701,67.3478880425715,92.8370904033821,53.015780766191,33.4640075416297,79.1398727421827,72.0047166200923,82.1801188388252,1.0,1.0,134.156564409075,26.0543739287022,106.314896480048,83.930684877365,1.0,61.8759316857727,205.164967862393,70.123121543621,59.9443697063926,63.3503440852684,35.405396204041,1.0,64.2419548122524,85.3393170575624,81.9652618384965,116.901194648149,140.009299323014,103.263738422364,1.0,1.0,67.257736436743,26.9323266096061,71.7144567528757,79.7097396835386,66.919493011211,2.5717584023554423
RGS3,1.0,1.0,1.0,1.0,1.0,1.0,100.417966423778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,104.770764610497,1.0,1.0,1.0,1.0,54.6222012835297,51.0121955207894,1.0,1.0,1.0,1.0,43.8982304226723,68.2464122959023,1.0,1.0,62.4734099533523,1.0,98.050338980785,73.6395398854493,68.4087264830701,1.0,1.0,1.0,1.0,1.0,1.0,1.0,89.2113464344739,2.5697943255756672
EEA1,1.0,1.0,1.0,1.0,1.0,1.0,57.7512407827807,39.7135439913523,1.0,1.0,32.6031716494001,1.0,1.0,73.936613376356,1.0,1.0,1.0,1.0,51.7248421139433,83.019615741391,61.4143265492673,1.0,1.0,1.0,168.618363284331,61.2906883801924,30.1397279481875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,82.3551060038043,28.6876672845238,1.0,1.0,1.0,1.0,1.0,71.8257520639265,2.5693327618289548
PTPA,1.0,1.0,1.0,1.0,1.0,36.9167193224326,59.730812133797,36.4084292544057,1.0,1.0,1.0,1.0,1.0,60.2496691784105,56.834330541149,1.0,1.0,74.8131413440287,42.6019549374693,1.0,1.0,1.0,1.0,1.0,1.0,71.3508508792219,38.0855163008448,1.0,1.0,1.0,115.119143177931,1.0,70.0902434122688,1.0,1.0,22.2105582150755,1.0,71.9079912388197,35.3131544656235,1.0,1.0,42.8353525741222,2.5673372944925172
ZNF791,1.0,43.5671929172543,1.0,1.0,1.0,1.0,1.0,27.2387920199353,1.0,1.0,60.7984498488918,1.0,1.0,70.3765218836384,1.0,1.0,123.025453972289,1.0,1.0,1.0,1.0,1.0,71.983179656558,1.0,1.0,1.0,28.574928891272,1.0,1.0,42.329791102763,55.5304521861246,1.0,51.2988048204053,45.1330866441352,56.220324989136,1.0,1.0,1.0,1.0,1.0,83.9007393255353,62.5894053107885,2.5660864702954123
