metabolite,mean_fibrotic_minus_adjacent_z,median_fibrotic_minus_adjacent_z,std_fibrotic_minus_adjacent_z,n_patients,n_positive_patients,n_negative_patients,positive_patient_fraction
Adenosine,-3.23270045149769,-3.0182967327929737,8.95636973957105,8,3,5,0.375
Inosine,-3.23270045149769,-3.0182967327929737,8.95636973957105,8,3,5,0.375
L-Lysine,-3.27648927754433,-0.9078425762061624,7.6935653467595415,8,4,4,0.5
L-Ornithine,-3.27648927754433,-0.9078425762061624,7.6935653467595415,8,4,4,0.5
Nicotinate,-3.292539985999033,-3.7461858739146647,7.685053296791906,8,3,5,0.375
GABA,-3.4063709328918588,-1.6601455352578762,5.537191659273931,8,2,6,0.25
4-Hydroxycyclophosphamide,-3.589368696009163,0.3217366009305798,7.585477835599533,8,4,4,0.5
Estriol,-3.589368696009163,0.3217366009305798,7.585477835599533,8,4,4,0.5
E-3179,-3.589368696009163,0.3217366009305798,7.585477835599533,8,4,4,0.5
N-Desmethyleletriptan,-3.589368696009163,0.3217366009305798,7.585477835599533,8,4,4,0.5
O-Deethylated candesartan,-3.589368696009163,0.3217366009305798,7.585477835599533,8,4,4,0.5
Glycerol,-3.589368696009163,0.3217366009305798,7.585477835599533,8,4,4,0.5
8-Hydroxycarvedilol,-3.589368696009163,0.3217366009305798,7.585477835599533,8,4,4,0.5
Anion exchange,-4.103398279221531,-0.08435755428503566,7.571290979875077,8,4,4,0.5
Butyrate,-4.4718876136694945,-3.5479262780434397,6.647856680633806,8,2,6,0.25
Creatine,-4.591275877711641,-2.2463148307314174,6.6186509859750755,8,2,6,0.25
L-Arginine,-4.6244385505881285,0.01570945490943565,10.830762208825517,8,4,4,0.5
Lysophosphatidylcholine,-4.681150943489834,-3.6068717792831984,9.515593288559037,8,2,6,0.25
Cobalamin,-4.738651081887843,-0.7619892332924185,8.742708220124598,8,4,4,0.5
Estradiol,-4.75377785581189,2.6140446503809667,13.724550428652634,8,5,3,0.625
Testosterone,-4.882218407460374,1.4049661458701832,10.709299689272324,8,4,4,0.5
N-Desmethylcitalopram,-5.347700182488413,0.6101097266262676,10.599085284030906,8,4,4,0.5
3b-Hydroxy-5-cholenoic acid,-5.544732793978165,-2.4419265853980416,7.578037953039988,8,4,4,0.5
3-Sulfodeoxycholic acid,-5.544732793978165,-2.4419265853980416,7.578037953039988,8,4,4,0.5
"3alpha,7alpha-Dihydroxycoprostanic acid",-5.544732793978165,-2.4419265853980416,7.578037953039988,8,4,4,0.5
