donor_id,status,annotation2v2,fraction,n_cells,bile_acid_transport_mean,ecm_remodeling_mean,epithelial_repair_mean,fatty_acid_metabolism_mean,glycolysis_mean,hypoxia_mean,inflammation_mean,oxidative_phosphorylation_mean,retinoid_vitamin_a_mean,epithelial_bile_urea_transport_mean,fibrotic_amino_acid_transport_mean
105569,N,CD4 T cells,imu,15,0.001869439,0.018790739,0.015277336,0.023070076,0.16414799,0.1363365,0.18981189,0.17450707,0.0,0.008091754,0.041000724
105569,N,CD63+CD81+ macrophage,epi,1,0.0,0.06318596,0.022231285,0.04446257,0.2613223,0.19478501,0.37857854,0.39299855,0.09148398,0.0,0.14969577
105569,N,CD63+CD81+ macrophage,imu,6,0.007791329,0.03531785,0.0035141164,0.08769781,0.30699688,0.22754611,0.5108412,0.28632376,0.0488826,0.006442547,0.18775119
105569,N,CD69+ CD4 T cells,epi,2,0.0,0.018170921,0.29043087,0.0,0.28232262,0.22020078,0.286643,0.09285596,0.0,0.0,0.16789564
105569,N,CD8 intraepithelial cells,epi,16,0.0067577017,0.015498338,0.29662842,0.083108455,0.18211684,0.11545139,0.11445832,0.2023293,0.006941843,0.058314823,0.03999983
105569,N,CD8 intraepithelial cells,imu,2,0.0,0.0,0.0,0.0,0.26583347,0.22621295,0.07525761,0.23338854,0.0,0.0,0.0
105569,N,CXCR6-hi CD4 T cells,epi,22,0.002257079,0.031077476,0.11464455,0.048653364,0.26348898,0.15945481,0.1343608,0.28909546,0.0,0.008362883,0.035258863
105569,N,CXCR6-hi CD4 T cells,imu,35,0.0,0.019998213,0.0075296205,0.031941526,0.31785908,0.20277986,0.18119073,0.27032575,0.0016605317,0.0070338077,0.063148014
105569,N,Colonocytes-CAECAM-hi,epi,5,0.029012775,0.035050295,0.7564043,0.25492913,0.3773972,0.3055515,0.092862844,0.28270477,0.045135166,0.08832138,0.0068077506
105569,N,Colonocytes-LGALS4-hi,epi,364,0.034621403,0.028133018,1.2629355,0.2877463,0.5212133,0.31813508,0.08068228,0.5785102,0.03893453,0.04451857,0.014314713
105569,N,Colonocytes-LGALS4-hi,imu,42,0.022183506,0.021710638,1.1900811,0.13062331,0.37722087,0.20815863,0.076892294,0.5036904,0.033692878,0.045617122,0.03431191
105569,N,Cycling B cells,imu,2,0.0,0.0,0.0,0.051539585,0.12784085,0.050470483,0.15013985,0.10713355,0.0,0.0,0.08411747
105569,N,Cycling T cells,epi,8,0.0,0.0082615875,0.14263031,0.07005985,0.44320214,0.26214847,0.059398122,0.3555835,0.0030051395,0.0027616792,0.12492033
105569,N,Cycling T cells,imu,14,0.0003870451,0.0081905965,0.053840935,0.060187332,0.5413466,0.3308286,0.12014622,0.39318976,0.0018418927,0.0006618252,0.07663152
