annotation2v2,fraction,feature,normal_mean,fibrotic_mean,fibrotic_minus_normal,inflamed_mean,inflamed_minus_normal
CCR7hi CD4 T cells,imu,epithelial_bile_urea_transport_mean,0.004873661324381828,0.003097884589806199,-0.0017757767345756292,0.006029732525348663,0.001156071200966835
CCR7hi CD4 T cells,imu,fibrotic_amino_acid_transport_mean,0.022592848166823387,0.028783468529582024,0.0061906203627586365,0.03118347004055977,0.008590621873736382
CD4 T cells,epi,bile_acid_transport_mean,0.018120042979717255,0.0037983262445777655,-0.01432171673513949,0.0,-0.018120042979717255
CD4 T cells,epi,ecm_remodeling_mean,0.013720092363655567,0.0032310958486050367,-0.01048899651505053,0.0,-0.013720092363655567
CD4 T cells,epi,epithelial_repair_mean,0.09424956142902374,0.008029055781662464,-0.08622050564736128,0.0,-0.09424956142902374
CD4 T cells,epi,fatty_acid_metabolism_mean,0.03514546900987625,0.032960087060928345,-0.0021853819489479065,0.0,-0.03514546900987625
CD4 T cells,epi,glycolysis_mean,0.0564400739967823,0.10022014379501343,0.043780069798231125,0.0,-0.0564400739967823
CD4 T cells,epi,hypoxia_mean,0.048498667776584625,0.07879812270402908,0.030299454927444458,0.12019365280866623,0.0716949850320816
CD4 T cells,epi,inflammation_mean,0.05799533799290657,0.11376812309026718,0.05577278509736061,0.24038730561733246,0.1823919676244259
CD4 T cells,epi,oxidative_phosphorylation_mean,0.032289423048496246,0.10859754681587219,0.07630812376737595,0.0,-0.032289423048496246
CD4 T cells,epi,retinoid_vitamin_a_mean,0.0,0.0,0.0,0.0,0.0
CD4 T cells,epi,epithelial_bile_urea_transport_mean,0.020247936248779297,0.005883437115699053,-0.014364499133080244,0.0,-0.020247936248779297
CD4 T cells,epi,fibrotic_amino_acid_transport_mean,0.0728985071182251,0.08923661708831787,0.016338109970092773,0.28870081901550293,0.21580231189727783
CD4 T cells,imu,bile_acid_transport_mean,0.00615721708163619,0.0008838525391183794,-0.005273364542517811,0.0010984421242028475,-0.005058774957433343
CD4 T cells,imu,ecm_remodeling_mean,0.01124360878020525,0.011729649268090725,0.00048604048788547516,0.010264626704156399,-0.000978982076048851
CD4 T cells,imu,epithelial_repair_mean,0.02072719670832157,0.019600985571742058,-0.0011262111365795135,0.010640227235853672,-0.0100869694724679
CD4 T cells,imu,fatty_acid_metabolism_mean,0.027551952749490738,0.024165591225028038,-0.0033863615244627,0.026647547259926796,-0.000904405489563942
CD4 T cells,imu,glycolysis_mean,0.13564102351665497,0.12806375324726105,-0.007577270269393921,0.17227177321910858,0.03663074970245361
CD4 T cells,imu,hypoxia_mean,0.0987154021859169,0.09413615614175797,-0.0045792460441589355,0.11703396588563919,0.01831856369972229
CD4 T cells,imu,inflammation_mean,0.0686691477894783,0.09465856105089188,0.025989413261413574,0.1041925773024559,0.0355234295129776
CD4 T cells,imu,oxidative_phosphorylation_mean,0.12419859319925308,0.13753381371498108,0.013335220515727997,0.1661776900291443,0.041979096829891205
CD4 T cells,imu,retinoid_vitamin_a_mean,0.0034027681685984135,0.0029583191499114037,-0.0004444490186870098,0.00483767269179225,0.0014349045231938362
CD4 T cells,imu,epithelial_bile_urea_transport_mean,0.021932460367679596,0.015839461237192154,-0.006092999130487442,0.011620542034506798,-0.010311918333172798
CD4 T cells,imu,fibrotic_amino_acid_transport_mean,0.047289662063121796,0.06314787268638611,0.015858210623264313,0.061718884855508804,0.014429222792387009
CD63+CD81+ macrophage,epi,bile_acid_transport_mean,0.0,0.02734861709177494,0.02734861709177494,,
CD63+CD81+ macrophage,epi,ecm_remodeling_mean,0.06318596005439758,0.06428846716880798,0.0011025071144104004,,
CD63+CD81+ macrophage,epi,epithelial_repair_mean,0.02223128452897072,0.04024815931916237,0.01801687479019165,,
CD63+CD81+ macrophage,epi,fatty_acid_metabolism_mean,0.04446256905794144,0.0598546601831913,0.015392091125249863,,
CD63+CD81+ macrophage,epi,glycolysis_mean,0.2613222897052765,0.339362233877182,0.07803994417190552,,
CD63+CD81+ macrophage,epi,hypoxia_mean,0.194785013794899,0.23298615217208862,0.038201138377189636,,
CD63+CD81+ macrophage,epi,inflammation_mean,0.3785785436630249,0.31060004234313965,-0.06797850131988525,,
CD63+CD81+ macrophage,epi,oxidative_phosphorylation_mean,0.3929985463619232,0.2818391025066376,-0.11115944385528564,,
CD63+CD81+ macrophage,epi,retinoid_vitamin_a_mean,0.09148398041725159,0.01906609535217285,-0.07241788506507874,,
CD63+CD81+ macrophage,epi,epithelial_bile_urea_transport_mean,0.0,0.007307053543627262,0.007307053543627262,,
CD63+CD81+ macrophage,epi,fibrotic_amino_acid_transport_mean,0.1496957689523697,0.1238870769739151,-0.02580869197845459,,
CD63+CD81+ macrophage,imu,bile_acid_transport_mean,0.0163939967751503,0.01108064316213131,-0.0053133536130189896,0.014055936597287655,-0.002338060177862644
CD63+CD81+ macrophage,imu,ecm_remodeling_mean,0.060043320059776306,0.07039351761341095,0.010350197553634644,0.042250704020261765,-0.01779261603951454
