top_fraction,region,gene,priority,mean_fibrotic_minus_adjacent_region_expression,median_fibrotic_minus_adjacent_region_expression,n_patients,positive_patient_fraction
0.2,stromal_fibrotic_region,SLC5A1,False,-0.05561519284962939,-0.06587735037979153,8,0.375
0.2,stromal_fibrotic_region,SLC7A5,False,0.022405766893057576,0.013852361053538771,8,0.625
0.2,stromal_fibrotic_region,SLCO2B1,True,0.06343478273188943,0.10641733022062802,8,0.75
0.3,epithelial_absorptive_region,ABCB1,False,-0.15584001387799434,-0.017566291109981765,8,0.5
0.3,epithelial_absorptive_region,ABCC3,False,-0.039221771960588035,-0.038722471448556894,8,0.5
0.3,epithelial_absorptive_region,SLC10A2,True,-0.3879170087861381,-0.13713132943141043,8,0.25
0.3,epithelial_absorptive_region,SLC15A3,False,0.088672498514262,0.07072556743884509,8,0.875
0.3,epithelial_absorptive_region,SLC1A4,False,0.03050662164569948,0.03384614348851423,8,0.75
0.3,epithelial_absorptive_region,SLC1A5,False,0.02865456177101872,0.022270511299235823,8,0.625
0.3,epithelial_absorptive_region,SLC38A2,False,0.09084556719484785,0.07601034469151496,8,0.5
0.3,epithelial_absorptive_region,SLC51A,True,-0.17877844531825787,-0.3041645733891921,8,0.25
0.3,epithelial_absorptive_region,SLC51B,True,-0.1707876932058729,-0.21952389310051965,8,0.25
0.3,epithelial_absorptive_region,SLC5A1,True,-0.4662848009714486,-0.3583068622630542,8,0.375
0.3,epithelial_absorptive_region,SLC7A5,False,0.040016219692280655,0.002351072665861568,8,0.625
0.3,epithelial_absorptive_region,SLCO2B1,False,0.021971582278113813,-0.010653361813968337,8,0.375
0.3,epithelial_bile_region,ABCB1,True,-0.15209930289676013,-0.01209733583133699,8,0.5
0.3,epithelial_bile_region,ABCC3,True,-0.016011021667279038,0.02238962745347005,8,0.625
0.3,epithelial_bile_region,SLC10A2,True,-0.39991552957720944,-0.14177313266101157,8,0.25
0.3,epithelial_bile_region,SLC15A3,False,0.1167561209553335,0.07988606761098443,8,0.875
0.3,epithelial_bile_region,SLC1A4,False,0.031159761027917513,0.039110865764497946,8,0.75
