top_fraction,region,gene,mean_expression_in_region,mean_expression_outside_region,in_region_minus_outside,in_region_to_outside_ratio,n_in_region_spots,n_outside_region_spots,priority
0.3,epithelial_bile_region,SLC38A2,0.6453969833271699,0.7378913256354774,-0.09249434230830755,0.8746504544844043,17650,41165,False
0.3,epithelial_bile_region,SLC51A,0.3179876482672462,0.028646161747589792,0.2893414865196564,11.100532457686091,17650,41165,True
0.3,epithelial_bile_region,SLC51B,0.28136901738116826,0.02640819819023061,0.25496081919093766,10.654608669411505,17650,41165,True
0.3,epithelial_bile_region,SLC5A1,1.1296663609062647,0.26059705651785237,0.8690693043884123,4.334916042418446,17650,41165,True
0.3,epithelial_bile_region,SLC7A5,0.07711948815891492,0.08386870396103935,-0.006749215802124425,0.9195264087393108,17650,41165,False
0.3,epithelial_bile_region,SLCO2B1,0.4286335108359542,0.349993391217908,0.07864011961804618,1.2246902987064814,17650,41165,False
0.3,epithelial_absorptive_region,ABCB1,0.21869866414111533,0.06252262871832989,0.15617603542278544,3.4979121739486136,21421,37394,False
0.3,epithelial_absorptive_region,ABCC3,0.17401802073438086,0.04491619987677985,0.12910182085760102,3.874281911910858,21421,37394,False
0.3,epithelial_absorptive_region,SLC10A2,0.20273999995246142,0.037392440224360765,0.16534755972810067,5.421951569247373,21421,37394,True
0.3,epithelial_absorptive_region,SLC15A3,0.2312076830142859,0.26211602989485183,-0.03090834688056593,0.8820814320552435,21421,37394,False
0.3,epithelial_absorptive_region,SLC1A4,0.1021886393452196,0.09821516376323654,0.003973475581983063,1.0404568442360058,21421,37394,False
0.3,epithelial_absorptive_region,SLC1A5,0.15758340945834734,0.18020310805332548,-0.022619698594978144,0.8744766456065532,21421,37394,False
0.3,epithelial_absorptive_region,SLC38A2,0.6611904895796472,0.7381716772269175,-0.07698118764727024,0.8957137072280195,21421,37394,False
0.3,epithelial_absorptive_region,SLC51A,0.24450752576644846,0.04156029124494134,0.20294723452150712,5.883200488788913,21421,37394,True
0.3,epithelial_absorptive_region,SLC51B,0.21841163121751309,0.03676154150313194,0.18165008971438115,5.941307744097327,21421,37394,True
0.3,epithelial_absorptive_region,SLC5A1,0.9336023306744778,0.2852701924419686,0.6483321382325092,3.2726949937624377,21421,37394,True
0.3,epithelial_absorptive_region,SLC7A5,0.09379253984833236,0.07499823951623004,0.018794300332102318,1.250596553376898,21421,37394,False
0.3,epithelial_absorptive_region,SLCO2B1,0.41886467589469334,0.34765896115418377,0.07120571474050957,1.2048148406821317,21421,37394,False
0.3,stromal_fibrotic_region,ABCB1,0.06445108256242092,0.14296498616867073,-0.07851390360624981,0.4508172545575687,17650,41165,False
0.3,stromal_fibrotic_region,ABCC3,0.04492106658709961,0.11209473035542741,-0.06717366376832781,0.40074200138280286,17650,41165,False
0.3,stromal_fibrotic_region,SLC10A2,0.034987946147621525,0.1244651815674943,-0.08947723541987276,0.2811062958089082,17650,41165,False
0.3,stromal_fibrotic_region,SLC15A3,0.30571169814965543,0.22734009783543518,0.07837160031422025,1.3447328520591697,17650,41165,True
0.3,stromal_fibrotic_region,SLC1A4,0.10411215983690013,0.09775442866646736,0.0063577311704327705,1.065037781481236,17650,41165,False
0.3,stromal_fibrotic_region,SLC1A5,0.21049352468326477,0.15544512391336543,0.055048400769899336,1.3541339823601002,17650,41165,False
0.3,stromal_fibrotic_region,SLC38A2,0.8279645825673433,0.6596132222323665,0.16835136033497677,1.2552273888100904,17650,41165,True
0.3,stromal_fibrotic_region,SLC51A,0.03302649515546415,0.15082676061611774,-0.11780026546065359,0.2189697307066267,17650,41165,False
0.3,stromal_fibrotic_region,SLC51B,0.03126966179177038,0.13364137263825376,-0.10237171084648339,0.23398189628306537,17650,41165,False
0.3,stromal_fibrotic_region,SLC5A1,0.24212240859570652,0.6411424411475463,-0.3990200325518397,0.3776421479169975,17650,41165,False
0.3,stromal_fibrotic_region,SLC7A5,0.0760876021608077,0.08431113777293277,-0.008223535612125063,0.902462049150935,17650,41165,False
0.3,stromal_fibrotic_region,SLCO2B1,0.42738137214447214,0.3505302610807686,0.07685111106370351,1.2192424437957314,17650,41165,True
0.3,immune_inflammatory_region,ABCB1,0.0850608915208757,0.1341282771168858,-0.049067385596010094,0.6341756812901546,17650,41165,False
0.3,immune_inflammatory_region,ABCC3,0.06879972038120453,0.10185646387987897,-0.033056743498674435,0.6754575778552572,17650,41165,False
0.3,immune_inflammatory_region,SLC10A2,0.06160731533178189,0.11305179966295328,-0.051444484331171395,0.5449476745655948,17650,41165,False
0.3,immune_inflammatory_region,SLC15A3,0.3028617075043427,0.2285620663739939,0.07429964113034881,1.3250742448607944,17650,41165,False
0.3,immune_inflammatory_region,SLC1A4,0.10653594058397471,0.09671520286333687,0.009820737720637837,1.1015428539659375,17650,41165,False
0.3,immune_inflammatory_region,SLC1A5,0.1979786885628957,0.16081101380828866,0.03716767475460703,1.2311264252019243,17650,41165,False
0.3,immune_inflammatory_region,SLC38A2,0.7693235464989294,0.684756287618192,0.08456725888073746,1.1234997916921512,17650,41165,False
0.3,immune_inflammatory_region,SLC51A,0.07302978243773788,0.13367485923066574,-0.06064507679292787,0.5463239898515221,17650,41165,False
0.3,immune_inflammatory_region,SLC51B,0.06499263570430258,0.11918223284580402,-0.05418959714150144,0.5453215143937516,17650,41165,False
0.3,immune_inflammatory_region,SLC5A1,0.38715040671842293,0.5789599033881404,-0.19180949666971747,0.6686998606514439,17650,41165,False
0.3,immune_inflammatory_region,SLC7A5,0.09018201625676399,0.078267984395218,0.011914031861545993,1.152221012890603,17650,41165,False
0.3,immune_inflammatory_region,SLCO2B1,0.45102428523237914,0.34039307133215796,0.11063121390022118,1.325010181515318,17650,41165,True
